offset,baixa,média,alta,control_level
73,0.01131768115250629,0.009114934233794295,0.054189958181706764,-0.01266957313155949
74,-0.0032420045563224618,0.026031665869563885,0.09388128232938987,-0.01266957313155949
75,0.012391200121787129,0.0076612680309349765,0.05703674928770624,-0.01266957313155949
76,-0.014533943134507758,0.018295906109274344,0.09523141019367384,-0.01266957313155949
77,0.015521929653360668,0.007471292962239934,0.05779743046219329,-0.01266957313155949
78,-0.0035426614176725813,0.026918647814113947,0.09617146122928664,-0.01266957313155949
79,0.015955327192683517,0.010663283407995936,0.06026865334676923,-0.01266957313155949
80,-0.014949208899268334,0.01996719353064873,0.1003041182118753,-0.01266957313155949
81,0.021299014300045643,0.010717306936688544,0.06091415983420239,-0.01266957313155949
82,-0.003665836496296774,0.02810503909463334,0.10184925035454041,-0.01266957313155949
83,0.020146645464965352,0.011221061185692122,0.06081589873695567,-0.01266957313155949
84,-0.015349252675214097,0.018970936473415308,0.10423777029644428,-0.01266957313155949
85,0.022848348439025296,0.010547243642366973,0.06256572165750718,-0.01266957313155949
86,-0.005223403734858875,0.027432445532816874,0.10401599932776305,-0.01266957313155949
87,0.020802132456931213,0.01106780954544686,0.06488790830451228,-0.01266957313155949
88,-0.015466999927772493,0.020207207683723048,0.10816523951075137,-0.01266957313155949
89,0.014158835202672058,0.012696805630936196,0.06616322247307478,-0.01266957313155949
90,-0.0033572403348293184,0.02834401615599858,0.10601274857647576,-0.01266957313155949
91,0.010525269201660234,0.014574377212348125,0.07081051184865333,-0.01266957313155949
92,-0.013849391997763581,0.021617680852058764,0.10949209786538014,-0.01266957313155949
93,0.009977069323065926,0.016835224281800905,0.06940241875497397,-0.01266957313155949
94,-0.0026065896600832228,0.03140845850250448,0.10837177697922297,-0.01266957313155949
95,0.008679577417609463,0.017949757979785742,0.07058135759247963,-0.01266957313155949
96,-0.013081873717976278,0.024405907688418993,0.11246981580284036,-0.01266957313155949
97,0.007906927481680537,0.01707068638171491,0.07229204793870642,-0.01266957313155949
98,-0.002960683890663403,0.03165596676375792,0.10949297736576297,-0.01266957313155949
99,0.004128263267444978,0.01996402105765437,0.0741703150469022,-0.01266957313155949
100,-0.01197943257065386,0.025815424418825953,0.11399905021928555,-0.01266957313155949
101,0.0041473277636031765,0.023635412635121315,0.07337793392388324,-0.01266957313155949
102,-0.0012925405455343228,0.032655787753096986,0.11032086366231876,-0.01266957313155949
103,0.002021042233761138,0.02570584246034461,0.07475359540461408,-0.01266957313155949
104,-0.011077065265742779,0.027227266066221972,0.1144547960704394,-0.01266957313155949
105,0.0013131130362898703,0.02401996179321049,0.07395464483746451,-0.01266957313155949
106,-0.001188191492204295,0.03525954692457674,0.11062914636043826,-0.01266957313155949
107,0.006064554879620252,0.023765010382965128,0.07469427071108467,-0.01266957313155949
108,-0.011307155245044161,0.026745519009430885,0.11569762597637184,-0.01266957313155949
109,0.010263242252769277,0.023358423066144867,0.07298692255980274,-0.01266957313155949
110,0.00037390698775395265,0.03658694791540924,0.11227350202286977,-0.01266957313155949
111,0.012791581531648954,0.02574306207126091,0.07298913387712841,-0.01266957313155949
112,-0.009808301041439703,0.028069329671461873,0.11589260910789963,-0.01266957313155949
113,0.0127523835818373,0.02526900876760441,0.0740608298107673,-0.01266957313155949
114,0.0005501032665280765,0.03745213449040138,0.11347620073509386,-0.01266957313155949
115,0.013084719079274673,0.02680356619588543,0.07522036938918464,-0.01266957313155949
116,-0.009193937967962171,0.02892712781818181,0.11856202721282938,-0.01266957313155949
117,0.01246643668916598,0.026332991825344744,0.07503239102790774,-0.01266957313155949
118,0.00034714753646204727,0.03673531294658219,0.11327558493264694,-0.01266957313155949
119,0.011002078485188372,0.027400495057805046,0.07576815000512946,-0.01266957313155949
120,-0.008654816098579397,0.03151043234161579,0.11734436333902659,-0.01266957313155949
121,0.008289602521272178,0.025775779763770375,0.07622015917528936,-0.01266957313155949
122,-0.0011197054796417707,0.03874439654285963,0.11569074717180115,-0.01266957313155949
123,0.006084431559441724,0.025217266882845202,0.07910733560189516,-0.01266957313155949
124,-0.008971773045224393,0.032501071739172785,0.11920955215302387,-0.01266957313155949
125,0.005597440152991544,0.02846885739423846,0.0820339688805258,-0.01266957313155949
126,-0.001591969968080763,0.04053181083661462,0.11790288129458724,-0.01266957313155949
127,0.004576891773681442,0.031556736113089505,0.08110439643143716,-0.01266957313155949
128,-0.008115289265128032,0.030628512198276142,0.12108557878871493,-0.01266957313155949
129,0.0006471024311788191,0.03349137514112061,0.08003768249925075,-0.01266957313155949
130,-0.0008294986656937035,0.039492996239290014,0.11932013761915963,-0.01266957313155949
131,0.00012159616700535717,0.03729673932821902,0.08475012840974264,-0.01266957313155949
132,-0.008674207153902543,0.032282004004276284,0.12100295021010783,-0.01266957313155949
133,-0.003945527988873002,0.03565639898113047,0.08105523807111638,-0.01266957313155949
134,-0.00020405679130292709,0.039627854698019056,0.1197822813743423,-0.01266957313155949
135,-0.0057072020535875985,0.03496611231463091,0.08055004235117189,-0.01266957313155949
136,-0.0075129953195033706,0.03264887492172223,0.12208635385146537,-0.01266957313155949
137,-0.006240254466586768,0.032406884664817025,0.08182511052799894,-0.01266957313155949
138,0.0005776482428335131,0.040904932769464566,0.11947265901494325,-0.01266957313155949
139,-0.005310118185196305,0.03563846130646536,0.08356003846445181,-0.01266957313155949
140,-0.007712406292817348,0.0342615588261824,0.1233270713170382,-0.01266957313155949
141,-0.007259979198361064,0.036001727740908776,0.08404078921110578,-0.01266957313155949
142,0.0009958976952964198,0.04229053589374836,0.11976111324852247,-0.01266957313155949
143,-0.0055624508060004045,0.03556550776333827,0.0861275868261297,-0.01266957313155949
144,-0.006904963360523659,0.03492492451644936,0.12256206192468856,-0.01266957313155949
145,-0.00724175606049619,0.03657663163912647,0.08693477826298612,-0.01266957313155949
146,0.004144499608817941,0.042949126032550515,0.11928196697182489,-0.01266957313155949
147,-0.008876057338234822,0.036605886625244236,0.09016727969199996,-0.01266957313155949
148,-0.005696358892906833,0.03639359169626914,0.12347425215674783,-0.01266957313155949
149,-0.008672046625122595,0.03558060937401105,0.08895317041194058,-0.01266957313155949
150,0.0020690038665042835,0.04156559963399592,0.12020970378299765,-0.01266957313155949
151,-0.008133751608493589,0.034028080733454404,0.08845256576020699,-0.01266957313155949
152,-0.005255321576078499,0.038715038145573255,0.12415088167679682,-0.01266957313155949
153,-0.005917163767602914,0.03736394696547054,0.08659326218878385,-0.01266957313155949
154,0.0008897524253781003,0.04269577033218672,0.1212881296450435,-0.01266957313155949
155,-0.005255861950684465,0.03765093720611992,0.08550279926258622,-0.01266957313155949
156,-0.0051101719039646516,0.042493392413323325,0.12401474721060043,-0.01266957313155949
157,-0.004738237650360563,0.0370073219841083,0.08723635452619855,-0.01266957313155949
158,0.003305305560747417,0.04390144895208293,0.12211491902944008,-0.01266957313155949
159,-0.004171961344675958,0.03638455999645001,0.08817878390012528,-0.01266957313155949
160,-0.004597304885442141,0.04359631491551996,0.12466871050869884,-0.01266957313155949
161,-0.007226764710720593,0.03708043779995226,0.08850379791917629,-0.01266957313155949
162,0.0040241603495906565,0.044837893507521605,0.12227991582365949,-0.01266957313155949
163,-0.004573402404209168,0.03613797153547145,0.08812023164184479,-0.01266957313155949
164,-0.004142760709492593,0.044140223417832615,0.12476650217405315,-0.01266957313155949
165,-0.004893939666814846,0.036834852820850736,0.08744878815385697,-0.01266957313155949
166,0.003367918321475506,0.0457004461054591,0.12073057367295942,-0.01266957313155949
167,-0.004359205364020367,0.036213503270352956,0.08612785491574695,-0.01266957313155949
168,-0.0028834987893681403,0.04475362164738208,0.12400538817331905,-0.01266957313155949
169,-0.00856475969440213,0.038062201773027035,0.08834217364847746,-0.01266957313155949
170,0.004232072137127323,0.046409229827526904,0.1173410678478762,-0.01266957313155949
171,-0.00540164530043691,0.03976840723347466,0.08996467207587679,-0.01266957313155949
172,-0.0016425280414358726,0.04468919570087158,0.12388197724875906,-0.01266957313155949
173,-0.0055046592245507715,0.03996008793752882,0.08738513360356873,-0.01266957313155949
174,0.004915300391337957,0.046335721570412075,0.11889692730852645,-0.01266957313155949
175,-0.005539048736205075,0.04331962388452911,0.08688384744097372,-0.01266957313155949
176,-0.0020334234649866377,0.046895108072735475,0.12524816497426042,-0.01266957313155949
177,-0.0002835606986377054,0.04051004620045773,0.08873590338653736,-0.01266957313155949
178,0.0033451897001289433,0.04920952831692472,0.12098682744028234,-0.01266957313155949
179,-0.0021408906017089165,0.04053158092879388,0.09216439214742003,-0.01266957313155949
